account_id,account_name,page_or_group,repeat_vs_free,june_drop
1738555329547306,keeping america great 2020,group,270%,38%
1030667070381499,American Patriot's,group,6%,146%
1048219632194621,INGRAHAM ANGLE FOX NEWS,group,9%,-73%
927036497713551,The New Kent Ohio Page,group,12%,-37%
134911656562264,JANE FONDA IS A TRAITOR,group,,20%
422057694642786,North Carolina Truth Seekers / Formerly Lee County Truth Seekers,group,33%,-62%
485817822282215,"Liberal Insanity News, Memes & Screenshots",group,321%,-73%
186153604916499,The Reformation of the Republic of America,group,-9%,-51%
2211672655817973,Tongans for Trump,group,72%,-58%
531049314452059,#BACKTOWORK,group,14%,-71%
143550576265934,Americans for M.A.G.A. THE TRUTH AND NOTHING BUT THE TRUTH,group,-17%,-8%
821849447868559,The Official Barbershop,group,53%,-68%
742384772442089,✮•SPEAK UP OR SHUT UP•✮,group,5%,-17%
1597115530559275,New Republic Of Western Canada,group,-17%,-43%
330209537323818,Divine Awakening & Ascension,group,9%,-36%
566593484228659,Constitutionalist Patriots,group,,
122664117775150,PATRIOTS AGAINST SOCIALIST TAKEOVER (P.A.S.T.),group,4%,-44%
627698781282184,Trump is My President 2021,group,,
1312603948772159,Conservative Collection,group,-2%,-65%
95576364653,Redlands Tea Party Patriots,group,8%,44%
390036191069990,THE RAPTURE IS IMMINENT,group,-36%,102%
1943492389296470,Mark Levin For US Supreme Court,group,19%,-71%
848435872307367,RE-OPEN CA NOW!,group,36%,-56%
52162560982,Nancy Pelosi Should be Held Accountable for Her Statements & Actions,group,-12%,-68%
3103373293019201,Mesures sanitaires abusives,group,,
387802901682391,Fed Up Warrior (the Group),group,12%,-66%
375587046513648,Californuzuela,group,78%,-14%
667522123844273,Independent Patriot 🇺🇸,group,,
294529671274587,Dregs of Society,group,-42%,66%
225037850866079,DESPERTARES,group,167%,-71%
420881894613602,RAPTURE WATCH,group,2%,55%
198250627768259,PRZECIWNI  N. W. O.,group,170%,-70%
1418051154928300,ConservativeRage,group,-44%,6%
350368232220466,Lea County Patriots,group,,12%
1155789471149345,Katherine Timpf Fan Club,group,2%,-45%
420507635221908,Texans For Tucker,group,-21%,-41%
444259105910361,Free The Free World,group,-3%,46%
331922783911718,Alternative View Network,group,1%,-45%
458511988029815,PBN THE PATRIOT BROADCASTING NETWORK,group,22%,-21%
2053634161625187,Anonymous,group,67%,-50%
955439524552821,Toxic Earth,group,-33%,-2%
517238108650877,Trey Gowdy For President 2020,group,-29%,-51%
1171141586593204,Gregory Hallett - King John the Third,group,,11%
253672824799740,Conspiracy,group,-43%,76%
908535192513805,Real Jewish Conservatives,group,-11%,50%
2791886404373100,Wake Up,group,,
556081961627879,American Constitution Coalition,group,-69%,-67%
1461947057428759,AURC - Americans United to Reclaim the Constitution,group,-38%,56%
196513267478259,MR PRESIDENT TRUMP,group,177%,-66%
324215267620208,UNCENSORED SULLIVAN COUNTY NEW YORK NEWS and POLITICS,group,7%,-49%
630153780402598,North Carolina Conservatives,group,,-39%
2790573364504313,Corona Virus Hoax Resistance,group,,-26%
133073235232,We the People,group,-2%,-39%
1009354029267186,Groper Joe,group,-27%,-9%
371686133500927,Latinos For Trump -California Group,group,137%,-77%
1697934587186374,America,group,20%,-69%
186339608474466,RESPECT For The US Constitution,group,34%,-74%
1567582746904870,Pacific Northwest for President Trump,group,-30%,65%
335851880328521,FREETALK24,group,-4%,99%
482706692127247,AMERICAN DEPLORABLES!,group,-21%,-18%
1419995238298990,Raw Truth Your Everyday Reality !?,group,-65%,-2%
2018923658364461,Nationwide Support for Donald J. Trump,group,110%,-65%
2304289389843917,JESSE WATTERS FAN PAGE,group,,208%
681411242062750,Florida for Donald Trump 2024,group,83%,-76%
1162256127178709,The Trumpublican Movement of New England,group,-15%,5%
252191201985263,Trump's Crumbs,group,17%,-47%
1169379153153003,Red Alternativa Capitalista de Información,group,-39%,73%
2655958348012280,LIFT - Long Islanders For Trump,group,,
648244985322694,Boomer+ Conservatives,group,-4%,27%
335692274096828,STOP de tirannie in België NU!,group,,
222992821518393,Friends Who Like Judge Jeanine Pirro,group,6%,120%
1993882700850920,Nikki Haley Fans,group,-5%,-56%
138436382898376,Republicans of Northern Virginia,group,-3%,6%
1681653098743705,Upstate NY for trump,group,,122%
691177141704279,Proud Patriots of Blair County,group,,
532714214321757,Lincoln City Oregon community discussion (No Censorship),group,,-11%
691889494871179,Trump Rallies Near You!,group,,
2159307437460021,73 million + Americans in support of Trump,group,-6%,9%
322733278472843,EXPOSING THE MODERN DAY LEFT 🇦🇺,group,62%,-57%
304948950475399,Citizens of the world against lockdown,group,-47%,-83%
583551172058779,Stand United - Ottawa,group,-18%,115%
781530192392211,NATIONWIDE FIGHT FOR THE REPUBLIC,group,,
320516685323412,Trump Women Landslide 2024,group,16%,-62%
547790531950250,MD Nation™: Mass Debaters,group,-36%,7%
542406262952365,InitiateØ NESARA NORGE,group,74%,9%
534773803362687,Høyresiden,group,47%,22%
1390235704358728,Passionate Patriots Club,group,-56%,-29%
184169415325037,Trey Gowdy Now,group,-37%,-57%
252594152618602,VIOLATORS OF HUMAN & CONSTITUTIONAL RIGHTS UNDER COLOR OF LAW,group,,-43%
394207591172527,"Conservative Political Memes, Videos, & Humor",group,-27%,-8%
457428384459527,American Constitutionalist-Hardcore Originals,group,56%,11%
114078635368183,Thoughts Of A Philosopher,group,-34%,-90%
3261507083964458,East Kentucky Patriots Coalition,group,,
10224091567,DR. MEHMET OZ,group,114%,12%
74583989729,Conservative Party USA,group,57%,-75%
581521942267775,KEEP AMERICA GREAT ! GOD BLESS AND PROTECT PRESIDENT TRUMP,group,-52%,34%
129197934296161,"STRAIGHT OUT OF RICHMOND CA, I'M SO RICHMOND!",group,-20%,-25%
770448599784819,California for America First,group,-29%,-62%
552626958696221,Alveda King for US Congress,group,,
3403185983073502,Proud Trump Chump,group,,
2427701757557295,The Bucks County Conservative Republican committee PUBLIC group,group,,31%
594843857587681,Conservatives Leaving California,group,43%,-63%
1674032616233446,Latinos For Trump.,group,-82%,88%
592015608378462,California for Trump,group,,
335265430541185,Political Watchdogs Australia,group,66%,43%
656935291436984,Pleiadians The World is Awakening,group,-47%,127%
586293665575278,Dulce Revolución,group,,-81%
1168380049894757,Awaken Humanity,group,-16%,-25%
405481540159425,BOLETINES DE BENJAMIN FULFORD EN ESPAÑOL,group,,-66%
854231465047057,Take Australia Back,group,-70%,-71%
1410896288966161,New York State 2A Forum,group,,
2166389846945547,WIKILEAKS QUÉBEC,group,5%,-62%
2489021178051721,GraniteGrok - Group,group,-32%,-6%
1075463662505476,Anti-Corruption Network,group,-14%,-24%
188747225822085,WE THE PATRIOTS🇺🇸 VOTED FOR TRUMP,group,-57%,71%
540082039955974,Mindy Robinson for Congress,group,11%,-62%
273217612282,The CrowHouse,group,75%,-71%
355165265149025,CO2 en klimaat : een beetje realisme,group,-29%,34%
1516373428644661,Conspiracy Theory,group,-48%,201%
1666353296970237,LIBERALISM IS A MENTAL ILLNESS!,group,-31%,
324737770986860,Exopolitics UK,group,-30%,5%
622002831306889,RACERS for TRUMP,group,3%,174%
620310124696854,U.S. Constitution Works,group,61%,3%
332362077494554,Donald Trump Fan Club Group,group,22%,-35%
622217057943367,Pro POLICE,group,45%,196%
359976017761290,Less Government,group,-44%,3%
842881292858977,Awakening South Africa group,group,52%,-74%
606541656818641,Derecha Hispana USA,group,-16%,19%
1869453570007104,The American Dream,group,-59%,84%
280034829336132,American News and Chat group,group,,
163913910334648,Conservative Society for Action,group,-9%,-45%
154756498552558,The Patriot Wagon-USA,group,-3%,23%
390875878492780,WallBuilders Group,group,12%,-65%
208324266575341,Deplorables For Donald Trump,group,11%,-71%
3082512591797219,TRUMP ARMY 2020/RED WAVE,group,,
156589891820077,Conservative Bless,group,-35%,-51%
2274935456068150,Swamp Drainers,group,102%,55%
1942241952758957,Big Island Politics,group,-7%,10%
239814033258217,1st SOUTH AFRICA SUIDLANDERS CIVIL CRISIS,group,-19%,-48%
834370886698377,boycott Shepard Smith from Fox News,group,-88%,26%
291164085315526,Find 30! Bring 1!  FLORIDA,group,,
1373689196161146,PM Of Canada 🇨🇦 Is Out Of Control Like A Derailed Train,group,,44%
234487991232516,Freedom Movement USA -  America First,group,,-67%
502136849992073,President Trump's 2024 Support group!,group,-45%,-18%
887305448023678,[RECAP] Resistencia Capitalista,group,-15%,-40%
596433720752826,Walk away from Dem.,group,50%,-20%
180176366667186,Revolution Sverige,group,-58%,-64%
1603334276582240,Conscious Media,group,-40%,-27%
1744465439113871,PolitiChatter Support Group,group,-2%,-50%
73915624008,Dom Giordano,group,,25%
1686028791642804,PolitiChatter,group,22%,-35%
2163184140634453,Josh and Christina Peck's Official Group,group,-44%,-48%
770100556361454,ANTIVACCINE,group,-44%,61%
246032512777788,Anti Social America,group,-5%,98%
640955553390938,Free Alex Jones,group,-9%,-79%
2229107440647035,NO MORE RIG-A-RENDUMS!,group,-50%,89%
1711188739099813,THE WORLD OF TRUTH,group,-55%,85%
1746393728718250,FAMILY AMERICA PROJECT,group,40%,-91%
3087395521486277,Real Lexit,group,,-19%
264353474337586,Occupy Republicans,group,-50%,7%
483735911756843,POST WHATEVER YOU WANT,group,39%,-58%
310008346053461,Pharmacy Industry Exposed,group,-50%,152%
364060420470558,Avoin Tilannehuone – Kadonneen totuuden metsästäjät,group,13%,-11%
332161467805241,Pro Trump,group,,
483131922366602,Lying Dog Faced Pony Soldiers,group,22%,-42%
2230325240583410,OG Cosmic Society,group,-32%,-37%
438283613366517,The Truth Shall Be Seen By Everyone.,group,-22%,217%
347157322709899,End Voter Fraud - Voter I.D. NOW,group,,-2%
228511931721472,Michiganders for Constitutional rights.,group,8%,-54%
1205884609498940,Deplorable Infidels,group,-6%,121%
179952132756141,lock Her Up,group,-27%,-56%
515055432310458,AOC Memes and Tributes,group,1%,-46%
158925390797143,FREEDOM FORCE INTERNATIONAL - G Edward Griffin,group,33%,-48%
181254384531,CARBON DIOXIDE IS COOL.,group,-33%,99%
1908698432728310,Directed Energy Weapons/Weather Wars,group,-23%,67%
644577109226192,Fan Group for Diamond and Silk,group,32%,-64%
265892407631841,BIGFOOT PATRIOT NETWORK,group,211%,-76%
1523105331234337,It's THEM Against US!,group,-10%,340%
2503261629918853,We the people!,group,2%,-10%
706699386354396,Kacprowicz Report,group,27%,-61%
1610748582539294,The Myrtle Beach Republican Women,group,-46%,502%
523041618269248,UCA Family & Friends,group,33%,-11%
373652496802161,We The People Constitutional Conventions,group,-7%,11%
197406511020576,Stranger Than Fiction News,group,-56%,93%
432919940578166,Revelations is Here!,group,50%,109%
262826021256591,Liberal Left Propaganda Exposed,group,-58%,-24%
426526817556358,Collectif des climato-réalistes,group,28%,-34%
1437946886517676,JADE HELM - 15: Expose false flag to deconstruct America into NWO wasteland,group,,-2%
913041355863220,Free Face Society,group,,
831533873583631,The American Constitutionalist,group,537%,62%
1085583201464953,Trump Talk = Straight Talk,group,26%,110%
1055182804676747,Safe Gen F*ve for South Africa,group,120%,-51%
440485863169011,Ausarian Ma'atian Nation,group,-33%,163%
221814374985291,END TIMES  NEWS,group,-33%,74%
1097090330343753,The Truth of Things....,group,-26%,37%
205188083025716,Dr Phil Expose CPS #FOSTERWAR,group,71%,-7%
1692547400775009,Conservatives Take Back California,group,-51%,21%
147001602619754,Trump Pro,group,50%,22%
434887800052459,WebAnarchy,group,-38%,-7%
394381487407563,Velvet Revolution:United WE STAND,group,48%,-42%
2492851254139068,NORTH WALES AWAKE,group,66%,-36%
1064148950325676,Trumptastic 😎,group,-16%,34%
1804231712925269,Awakening Cosmic Consciousness,group,-27%,16%
182736759285423,Blue Ridge Ga. Trump Supporters,group,-8%,-44%
1627279890875901,End Time Prophecy News,group,265%,-75%
555060694626335,The Phoenician Church of Christ,group,-20%,381%
216388615499548,The Conservative Truth,group,,-24%
831022660302532,QUESTION EVERYTHING... EVERYWHERE,group,33%,268%
810586832714105,Trump Cult 45,group,-43%,80%
159668450710660,Mass Action Demand: Chemtrails & Geoengineering & Democracy,group,28%,144%
418283865023107,AAA Modified Earth Conspiracy,group,-42%,116%
2460894697259137,#LEXIT,group,24%,-49%
316072975914799,"Innocent ppl World wide seeking Truth, Justice and helpful info.",group,-39%,-30%
1522380591346561,United States for America Republic  Elected and public servant's oversights,group,30%,-67%
716630728462784,Spirituel,group,-67%,-48%
109475069741283,Truth News Network - TNN,group,-27%,286%
1541373222839186,Patriot Unity Trust,group,-21%,-62%
166522217277208,The Wall Of America,group,-18%,-37%
218168431725673,Targeted Individuals PUBLIC,group,-54%,28%
828529543865091,Step Outside The Matrix ~ The truth powered by THE TRUTH - Awaken Now!,group,,-14%
195166440880230,Christian Democrats,group,,28%
295496510831369,Ozzies 4 Trump,group,5%,3%
325607224984154,Milo Yiannopoulos Free Speech Topics,group,31%,-75%
866088476916565,GRAND SOLAR MINIMUM OFF GRID LIVING COMMON LAW RIGHTS,group,-34%,-45%
